Date,Temperature,Humidity,Pressure,Compass,Accelerometer_raw_x,Accelerometer_raw_y,Accelerometer_raw_z,Compass_raw_x,Compass_raw_y,Compass_raw_z,Gyroscope_raw_x,Gyroscope_raw_y,Gyroscope_raw_z,Default
2020-06-20 17:42:14.638358,0,9,6,2,5,7,5,9,5,8,8,4,4,8
2020-06-20 17:42:26.232914,4,9,4,8,1,2,8,0,8,3,8,4,8,7
2020-06-20 17:42:27.317576,9,8,4,8,1,6,4,2,3,2,4,8,9,7
2020-06-20 17:42:28.401098,0,4,2,0,5,5,4,5,5,1,3,4,1,4
2020-06-20 17:42:29.489655,2,3,2,6,0,7,5,6,6,8,4,4,1,0
2020-06-20 17:42:30.574801,0,2,2,5,3,9,2,5,2,3,0,1,6,8
2020-06-20 17:42:32.690442,0,1,1,4,7,1,4,0,3,0,4,7,4,3
2020-06-20 17:42:33.773445,7,4,4,5,5,0,1,1,4,0,5,3,1,9
2020-06-20 17:42:34.839506,0,7,8,1,0,0,9,9,2,0,1,7,0,3
2020-06-20 17:42:35.899239,5,6,9,7,9,0,8,0,3,6,1,3,4,4
2020-06-20 17:42:36.984604,7,0,3,7,7,4,1,5,9,6,2,7,5,1
2020-06-20 17:42:39.110843,7,4,5,2,3,1,5,1,9,5,1,0,7,0
2020-06-20 17:42:40.193984,7,9,3,5,3,1,1,7,6,1,8,9,1,7
2020-06-20 17:42:41.277192,7,6,8,1,0,6,7,9,7,3,9,4,6,4
2020-06-20 17:42:42.364625,8,8,1,8,8,1,1,6,5,6,6,8,3,7
2020-06-20 17:42:43.431331,6,1,5,9,3,7,2,4,2,4,9,5,8,3
2020-06-20 17:42:45.555328,4,8,8,9,5,5,5,8,2,3,4,5,6,1
2020-06-20 17:42:55.915829,1,7,5,5,2,5,7,2,6,0,2,2,0,0
2020-06-20 17:42:57.015183,2,7,9,5,3,4,5,6,1,1,5,6,4,9
2020-06-20 17:42:58.101748,2,2,9,3,7,7,8,3,9,2,1,7,0,5
2020-06-20 17:42:59.188573,2,9,7,4,1,3,1,4,8,0,5,7,8,4
2020-06-20 17:43:01.314102,2,8,9,7,7,7,7,3,5,7,3,0,6,4
2020-06-20 17:43:02.402031,9,6,2,6,3,5,8,2,5,3,0,4,3,6
2020-06-20 17:43:03.485841,6,1,2,3,8,3,9,4,4,1,6,3,9,9
2020-06-20 17:43:04.569689,1,6,2,1,1,7,6,6,1,2,8,4,3,5
2020-06-20 17:43:05.653458,5,8,1,1,4,1,4,1,6,7,2,8,6,1
2020-06-20 17:43:07.780652,5,8,8,3,8,4,0,0,9,2,1,8,4,9
2020-06-20 17:43:08.873371,4,6,7,9,7,0,1,7,5,6,6,8,8,5
2020-06-20 17:43:09.963152,1,8,8,3,7,1,1,5,8,1,3,8,9,2
2020-06-20 17:43:11.050133,3,2,6,4,8,5,1,9,9,5,6,4,3,9
2020-06-20 17:43:12.134493,7,9,5,6,8,0,2,6,1,6,4,0,8,1
2020-06-20 17:43:14.260940,6,7,4,4,8,1,1,2,5,6,8,6,1,9
2020-06-20 17:43:15.348667,7,5,1,0,7,9,4,6,3,1,9,2,4,0
2020-06-20 17:43:26.769886,1,5,1,0,3,1,4,6,9,2,6,5,4,8
2020-06-20 17:43:27.854945,9,9,3,7,0,1,1,0,7,5,8,1,2,9
2020-06-20 17:43:28.937679,1,7,2,7,3,9,1,5,4,2,8,6,2,5
2020-06-20 17:43:31.064457,1,6,7,9,5,5,2,7,8,9,2,0,8,5
2020-06-20 17:43:32.153355,6,3,9,8,7,9,7,7,0,5,8,7,8,0
2020-06-20 17:43:33.236252,7,3,4,8,6,0,8,4,2,9,7,5,9,0
2020-06-20 17:43:34.319691,7,2,2,2,7,4,4,8,4,0,8,5,4,0
2020-06-20 17:43:35.406452,1,2,4,7,6,8,6,6,5,4,3,8,7,6
2020-06-20 17:43:37.529155,9,8,1,3,2,4,7,0,5,9,0,6,1,7
2020-06-20 17:43:38.611970,1,0,0,1,9,9,9,3,2,1,7,6,8,9
2020-06-20 17:43:39.698701,2,2,7,6,3,0,2,6,5,7,9,6,4,5
2020-06-20 17:43:40.782091,4,5,1,3,2,0,7,5,5,5,7,5,9,2
2020-06-20 17:43:41.866955,2,5,6,0,7,4,3,9,4,5,6,2,9,5
2020-06-20 17:43:43.991595,2,2,1,8,2,0,1,9,4,0,6,0,1,9
2020-06-20 17:43:45.074453,8,1,6,7,2,0,9,9,5,6,9,1,4,6
2020-06-20 17:43:46.157381,2,1,5,3,7,4,7,7,7,0,3,1,0,0
2020-06-20 17:43:56.508333,4,7,9,4,7,5,6,2,8,3,6,6,6,2
2020-06-20 17:43:57.591003,4,9,1,6,7,9,5,3,6,7,0,1,5,1
2020-06-20 17:43:59.716144,9,2,4,4,2,5,4,7,0,7,7,5,4,1
2020-06-20 17:44:00.798355,0,1,7,4,5,5,1,0,9,0,9,9,2,0
2020-06-20 17:44:01.886031,7,6,5,4,6,9,8,8,7,2,9,8,1,5
2020-06-20 17:44:03.772905,3,0,9,8,0,1,6,6,4,4,7,4,1,2
2020-06-20 17:44:04.855070,4,7,5,1,7,5,9,5,1,6,2,7,7,9
2020-06-20 17:44:06.980050,6,0,5,2,7,4,3,2,3,1,9,7,8,4
2020-06-20 17:44:08.062640,0,5,8,3,7,9,3,7,1,2,5,0,4,7
2020-06-20 17:44:09.145386,2,8,9,4,7,2,3,0,8,5,0,7,4,8
2020-06-20 17:44:10.227547,2,4,5,3,2,5,3,0,4,2,1,6,1,3
2020-06-20 17:44:11.314043,2,5,5,4,7,9,1,9,0,0,0,9,8,3
2020-06-20 17:44:13.439208,9,6,0,7,7,2,8,6,6,2,1,2,9,0
2020-06-20 17:44:14.521820,2,6,5,3,7,0,3,7,0,0,0,7,5,4
2020-06-20 17:44:15.605798,4,4,8,9,0,9,2,4,1,1,4,4,7,4
2020-06-20 17:44:16.692616,5,6,1,4,5,5,5,2,1,1,0,4,5,1
2020-06-20 17:44:27.049841,6,8,3,1,0,4,9,4,6,0,8,6,2,1
